KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
lpsAlienWorld,Alien worlds are full of hidden dangers,Alienwelten stecken voller Gefahren,Les mondes extra-terrestres sont remplis de dangers cachés.,"I pianeti alieni sono ricchi di pericoli nascosti, fai attenzione!",Los mundos alienígenas están llenos de peligros escondidos,Mundos alien estão cheios de perigos escondidos,Mundos Alienígenas são cheios de perigos escondidos,Obce światy są pełne ukrytych niebezpieczeństw,Чужие миры полны скрытых опасностей.,世界は潜在的な危険に満ちている。,外星世界危机四伏,外星球危機四伏,외계 세상은 숨겨진 위험으로 가득합니다.,Uzaylıların dünyaları gizli tehlikelerle doludur,Οι Εξωγήινοι κόσμοι είναι γεμάτοι από κρυμμένους κινδύνους,Buitenaardse werelden zitten vol verborgen gevaren,Một thế giới xa lạ sẽ chứa nhiều nguy hiểm tiềm ẩn
lpsAlienWorld2,Your armor protects you against environmental hazards,Dein Anzug schützt dich vor Umweltgefahren,Votre armure vous protège contre les dangers de l'environnement,Le tute ti proteggono dai vari pericoli ambientali,Tu armadura te protege contra los peligros del medio ambiente,A sua armadura protege-o dos perigos ambientais,Sua armadura protege você contra riscos ambientais,Twój skafander chroni Cię przed potencjalnymi zagrożeniami ze strony środowiska,Ваша броня защищает вас от множества опасностей,調整を施された装甲服は過酷な自然環境からあなたを守ります。,你的护甲保护你免受恶劣环境影响,你的護甲能保護你免除環境威脅的困擾,아머는 환경 위험으로부터 보호해 드립니다.,Zırhınız sizi çevresel tehlikelere karşı korur,Η πανοπλία σου σε προστατεύει από τους περιβαλλοντικούς κινδύνους,Je harnas beschermt je tegen de gevaren van de omgeving,Áo giáp của bạn giúp chống lại sự khắc nghiệt của môi trường
lpsArachnids,Beware of dangerous Arachnids on desert planets,Vorsicht vor gefährlichen Arachniden auf Wüstenplaneten,Attention aux arachnidés qui peuplent les planètes désertiques,"Fai attenzione agli Aracnidi presenti sui pianeti aridi, sono molto pericolosi!",Cuidado con los peligrosos arácnidos en planetas desiertos,Cuidado com os aracnídeos em planetas desertos,Cuidado com as perigosas Aranhas em planetas do deserto,Uważaj na niebezpieczne Arachnidy na pustynnych planetach,Остерегайтесь опасных арахнидов на засушливых планетах,惑星探査時、スパイダーに気を付けよう。,在沙漠星球上要小心危险的蜘蛛类生物,當心沙漠星球上的危險蜘蛛怪,사막 행성에서는 위험한 거미류를 조심하십시오,Issız gezegenlerde tehlikeli Eklembacaklılara dikkat et,Προσοχή στους επικίνδυνους αραχνοειδή στους πλανήτες της ερήμου,Pas op voor gevaarlijke spinnen op woestijnplaneten,"Hãy để ý đến loài nhện sống trên hành tinh sa mạc, chúng rất nguy hiểm"
lpsAsteroidField,It pays out to capture a freighter and loot its cargo,Es lohnt sich einen Frachter zu entern um an seine Ladung zu gelangen,Il est très rentable d'aborder un cargo pour le piller.,Assaltare una fregata da trasporto per saccheggiarne il carico? Ne vale la pena.,Merece la pena capturar un carguero y saquear su carga,É compensatório capturar um cargueiro e pilhar a sua carga,Vale muito a pena capturar um cargueiro e roubar sua carga,Opłaca się przechwytywać obce okręty i grabić je z ładunku,Выгодно захватить грузовое судно и забрать его груз,アステロイドベルトを通過する際は細心の注意を払うべきです。,占领一艘货舰并掠夺其货物需要付出相当的代价,佔領一艘貨船並奪取其物資會大有收穫,수송선을 잡아서 전리품을 획득하면 금액을 지불합니다.,Bir yük gemisi yakalayıp kargosunu yağmalamak size kazanç sağlar,Πληρώνει για να συλλάβει ένα σκάφος και να λεηλατήσει το φορτίο του,Het loont om een ​​vrachtschip te veroveren en zijn lading te plunderen,
lpsAsteroidsSathium,Be careful when you traverse an asteroid field,Sei vorsichtig wenn du ein Asteroidenfeld durchquerst,Soyez prudent en traversant un champ d'astéroïdes.,Fai attenzione quando attraversi i campi di asteroidi!,Ten cuidado cuando atravieses un campo de asteriodes,Cuidado ao atravessar uma área de asteroides,Tome cuidado ao atravessar um cinturão de asteróides,"Uważaj, kiedy przelatujesz przez pole asteroid",Будьте осторожны при путешествии через поле астероидов,アステロイドは希少なサティウム鉱石を含んでいることがあります。,穿越小行星带时需谨慎驾驶,橫穿小行星帶時要當心,소행성 필드를 통과할 때 조심하십시오.,Bir asteroit bölgesinin içinden geçerken dikkatli olun,Πρόσεχε όταν περνάς από το πεδίο των αστεροειδών,Wees voorzichtig als je een asteroïde veld doorkruist,Hãy cẩn thận khi đi qua khu vực tiểu hành tinh
lpsBaseAttack,Prepare your base against deadly base attack drones,Bereite deine Basis gegen tödliche Drohnenangriffe vor,Préparez votre base contre les attaques mortelles des drones,Prepara la tua base contro i letali attacchi dei Droni.,Prepara tu base contra mortales drones de ataque de bases,Prepare a sua base contra drones de ataque de base mortíferos,Prepare sua base contra um ataque de drones mortal,Przygotuj bazę na ataki niebezpiecznych dron,Подготовьте свою базу к периодическим атакам смертоносных дронов,ドローン迎撃する為に、基地に防御兵器を整備しよう。,武装你的基地，严阵以待以迎接致命的无人机攻击,發展基地準備迎接致命的基地攻擊無人機,치명적인 기지 공격 드론에 대비하여 기지를 정비하십시오.,Ölümcül üss saldırı dronlarına karşı Üssünüzü iyi hazırlayın,Προετοίμασε την βάση σου εναντίων θανατηφόρων επιθέσεων από Drones,Bereid je basis voor op dodelijke aanvallen van drones,
lpsBaseInWater,A base in the water makes oxygen production easier,Eine Basis im Wasser erleichtert die Sauerstoffversorgung,Construire une base près de l'eau permet de produire de l'oxygène plus facilement,Una base costruita nell'acqua rende più facile la produzione di ossigeno.,Una base en el agua hace la producción de oxígeno más fácil,Uma base na água torna a produção de oxigénio mais fácil,Uma base na água torna a produção de oxigênio mais fácil,Baza w wodzie ułatwi produkcję tlenu,База в воде делает производство кислорода проще,水辺の基地は酸素生成に便利です。,建在水里的基地可以方便的获得氧气,水中的基地會使氧氣生產更方便,물 속 기지는 산소 생산을 보다 쉽게 만듭니다.,Sudaki bir üss oksijen üretimini kolaylaştırır,"Μία βάση μέσα στο νερό, κάνει την παραγωγή οξυγόνου ευκολότερη.",Een basis in het water maakt zuurstofproductie eenvoudiger,
lpsBaseOnMountain,Watch out for outposts that can contain useful equipment,Halte die Augen nach Aussenposten offen um an nützliche Ausrüstung zu gelangen,Vous trouverez des objets bien utiles dans les avant-postes,"Tieni gli occhi aperti per gli avamposti,potrebbero contenere attrezzature utili!","Pon atención a puestos de avanzada, ya que pueden contener equipo útil",Cuidado com postos avançados que podem conter equipamento útil,Procure por postos avançados pois podem conter equipamentos úteis,"Rozejrzyj się za posterunkami, mogą zawierać przydatne wyposażenie",В найденных форпостах можно найти много ценного.,山の上などの高所に前哨基地を設置することで、効率的な防衛をすることができます,注意哨站类建筑里往往会有实用的装备,注意可能包含有用裝備的哨站,유용한 장비를 포함할 수 있는 전초기지를 조심하십시오.,Yararlı ekipman sahip olabilecek karakollara dikkat edin,Έχε το νου σου για τα φυλάκια που μπορούν να περιέχουν χρήσιμο εξοπλισμό,Let op buitenposten die nuttige apparatuur kunnen bevatten,
lpsBeWellPrepared,Be well prepared for the next adventure,Bereite dich gut auf das nächste Abenteuer vor,Soyez prêt pour la prochaine aventure,Tieniti pronto per la prossima avventura,Prepárate bien para la siguiente aventura,Esteja bem preparado para a próxima aventura,Esteja bem preparado para a próxima aventura,Bądź przygotowany na kolejną przygodę,Будьте готовы к следующему приключению,惑星を調査する為には準備は怠ってはならない。,为下一次冒险准备万全,準備就緒後再進行下一次冒險,다음 모험을 대비하여 잘 준비해 두십시오.,Sıradaki maceraya hazır olun,Να είσαι καλά προετοιμασμένος για την επόμενη περιπέτεια,Wees goed voorbereid op het volgende avontuur,
lpsCivilians,Visit trading stations and the aliens that hang around there,Besuche Handelsstationen und die Aliens die dort rumhängen,Visitez les stations de commerces et les étrangers qui traînent là,"Visita le Stazioni Commerciali, vi sono molti alieni che le frequentano",Visita Estaciones Comerciales y a los alienígenas que hay por ahí,Visite postos de comércio e os aliens que por lá andam,Visite as estações de comércio e os aliens que ficam por ali,"Odwiedź stacje handlowe i cudzoziemców, którzy się tam znajdują","Посетите торговые станции и пришельцев, которые там находятся",マーケットプレイスで他のユーザーと交流しよう。,访问交易中心和在那里闲逛的外星人,存取貿易站並與在那裡逗留的外星人互動,주변에 있는 거래소와 외계 지역들을 방문하십시오.,Ticaret Merkezlerini ve buralarda takılan uzaylıları ziyaret edin,Επισκέψου τους σταθμούς εμπορικών συναλλαγών και τους εξωγήινους που αράζουν εκεί,Bezoek handelsstations en de buitenaardse wezens die daar rondhangen,
